Version,GDH,GITC,Na Cit (pH 5.00),Na Cit (pH 5.50),Na Cit (pH 6.11),Na Cit (pH 6.50),Na Cit (pH 8.5),Na Cit (pH 11),Na Cit (pH 11.5),EDTA,IGEPAL,SDS 20%,IPA,Water,NaI 6M,NaI 8M,NaI 8M + thiosulfate,NaI 9M,NaI 10M,LiCl,CaCl2,PEG 8000,PEG 6000,PEG 3350,PEG 1000,PEG 400,TCEP,Phosphate Citrate 0.2M pH 7.8,Phosphate Citrate 0.2M pH 10,Bead Number,Bead Quantity,CTAB 10%,Citric Acid,Phosphate Citrate 1M pH 5,Phosphate Citrate 1M pH 7.8,Phosphate Citrate 1M pH 9,Phosphate Citrate 1M pH 10,NaCl 5M,sodium sulfite (g),sodium acetate 3M,Ammonium Sulfate 8M,Ammonium Sulfate 1M,Ammonium Chloride 4M,Magnesium Chloride 2mM,CDTA 0.5M pH 7
V35,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V36,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V37,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V38,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0,2.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0
V39,2,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.375,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V40,2.25,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.125,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V41,2.5,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.875,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V42,2.75,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.625,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V43,3,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.375,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V44,1.875,0,0,0,0,0.125,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V45,1.875,0,0,0.125,0,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V46,1.875,0,0,0,0.125,0,0,0,0,0.1,0.078,0.234,2.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V47,1.875,0,0,0,0.125,0,0,0,0,0.1,0.094,0.281,2.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V48,1.875,0,0,0,0.125,0,0,0,0,0.1,0.109,0.328,2.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V49,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V50,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.3,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V51,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.05,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V52,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,1.3,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V53,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,0.99,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V54,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,0.675,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V55,0,1.25,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V56,0,1.5,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V57,0,1.875,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V58,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V59,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V60,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V61,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.188,2.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
